task_id,task_type,task_title,task_description,task_rewardType,task_reward,task_deadline
11,Testnet,Turbos Finance,"Turbos Finance
➡️ Update From : https://t.me/airdropfind/48386
➡️ Go to : https://zealy.io/c/turbosfinance
➖️ Complete Daily Task",Token,TBA,Update Dev
12,Testnet,Savvy,"Savvy
➡️ Go to : https://testnet.savvydefi.io
➖️ Deposit
➖️ Borrow Asset
➖️ Self Liquidate
➖️ Stake SVY
➖️ Claim veSVY
➖️ Click Feedback & Send Feedback
➖️ Complete Task : https://zealy.io/c/savvy/invite
➖️ Add EVM Address
➖️ Done

➡️ Faucet : https://testnet.savvydefi.io/faucet
",Token,TBA,Update Dev
13,Testnet,GiroSwap,"GiroSwap
➡️ Go to : http://giroswap.com
➖️ Connect SUI Testnet
➖️ Swap Any Tokens 5-10x
➖️ Add Liquidity 3-5x
➖️ Try All Features
➖️ Done",Token,TBA,Update Dev
14,Testnet,Hashgreenswap,"Hashgreenswap
➡️ Download Ektension : https://github.com/hashgreen/hoogii-wallet/releases/tag/v1.0.8-dev-hoogii
➖️ Create Wallet
➖️ Claim Faucet : https://xchdev.com/#!faucet.md
➖️ Go to : https://testnet-swap.hash.green
➖️ Swap 5x
➖️ Add Liquidity
➖️ Send Feedback to Discord

📖 Guide : https://docs.hash.green/get-started
➖️ Discord : https://discord.gg/4RbcEHGaTg",Token,TBA,Update Dev
15,instant,Binance,"Register to Binance
Complete Registrasion
Complete KYC
Trade min $10 Any pair",Token BIDR,$3 - $10,2 Weeks
16,instant,Bybit,"Register to Bybit
Complete Registrasion
Complete KYC
Trade min $10 Any pair
Spinn Role to get Reward",Token USDT,$3 - $40,1 Month
17,instant,Ftx,"Register to FTX
Complete Registrasion
Complete KYC
Trade min $10 on Pair FTX
",Token FTX,$50 ,1 month
18,instant,Social Good,"Install Social Good in Playstore
Complete Registrasion
Make a payment with Marketplace
Get Cashback 100%",Token SG,$100 - $1000,1 Month
19,instant,Catly.io,"Register to Catly
Submit Addres Binance
Claim Airdrop 500 Token Catly
Get 3% Reward",USDT,$0.1/day,Until Project Dead
20,instant,Upbit,"Register to Upbit
Complete KYC
Make a Deposit Equivalent
or higher 1M IDR",Coin 0.001 BTC,/400k - BTC $69.000,1 Month
21,instant,BNB Doge,"BNBDOGEAI For BABT Holder
➡️ Claim : https://s.id/BNBDOGE-AI
➖️ Sell Worth $6
➖️ Revoke
➖️ LFG

⚡️ You Can Claim BDOGE Now!
A total of 210,000,000,000,000,000 BDOGE tokens",Token BDOGE,$2 - $11,2 days
22,instant,Credit Dao,"Last Chance To GET CD
🏷 Reward : 15 CD For Mining ( You Must Have Binance SBT NFT )
➡️ Mint Binance SBT : Guide (https://www.binance.com/en/support/faq/how-to-mint-binance-account-bound-bab-token-bacaf9595b52440ea2b023195ba4a09c) 
↪️ Claim CD : https://bit.ly/Credit-DAO
➖️ Login With TokenPocket or Metamask ( Polygon )
➖️ Accept Signature
➖️ Click Bind Default Address
➖️ Claim 15 CD For Mining
➖️ Done

📌 Rate CD : $6.2 ( Will Increased In The Futures )",Token 15 CD,$2-$5 month,1 Month
23,instant,Manta,"Manta Early Adopter Incentives


➡️Claim Here : https://galxe.com/mantanetwork/campaign/GCzqEUfFfu

➖ Free mint for BAB holders
➖ Free OAT Campaign
➖ Giant Squid NFT: zkBAB Edition
➖ Zealy Campaign",Get Ealy Acces Project,$1 ,TBA
24,Giveaway,ETHOS,"New Airdrops : ETHOS
🏷 Reward : 70,000 $3TH Tokens For 1,000 Random Winners
🪂 Register : https://wn.nr/MnSpEVh
➖ Join Telegram
➖ Follow Twitter & Retweet
➖ Complete Another Task
➖ Submit BSC Address
➖ Done",Token TH,$3 ,TBA
25,Giveaway,Giveaway A,"New Airdrops : Bowledio
🏷 Reward : 60 BWLD [~$4.2] For 1,000 Random Winners
🪂 Register : Bowledio (https://t.me/BowledioAirdropBot?start=515933843)
➖ Join Telegram
➖ Follow Twitter & Retweet
➖ Complete Another Task
➖ Submit Ronin Address
➖ Done 

✅Create Wallet : Here ",Token BWLD,$4.20 ,TBA
26,Giveaway,Giveaway B,"New Airdrops : 1Coin New Bot
🏷 Reward : 1B 1Coin ~ $10 ( Random 2000 Winner )
🪂 Register : https://t.me/OneCoinNewAirdropBot?start=657188428
➖ Join Telegram 
➖ Follow Twitter & Retweet 
➖ Submit BSC Address ",Token 1 Coin,$10 ,TBA
27,Giveaway,Giveaway C,"New Airdrops : NliteN
🏷 Reward : 70 NLTN ~ $12 ( Random 3000 Winner )
🪂 Register : https://t.me/NliteNeAirdropBot?start=657188428
➖ Join Telegram 
➖ Follow Twitter & Retweet 
➖ Submit BSC Address ",Token NTLN,$12 ,TBA
28,Giveaway,Giveaway D,"New Airdrops : CoinBest247
🏷 Reward : 800,000 B247 ~ $10 ( Random 3000 Winner )
🪂 Register : https://t.me/Coinbest247AirdropBot?start=657188428
➖ Join Telegram 
➖ Follow Twitter & Retweet 
➖ Complete Another Task 
➖ Submit BSC Address",Token B247,$10 ,TBA
29,Giveaway,Giveaway E,"New Airdrops : ATM88
🏷 Reward : 1200 Token ($24) For 2,000 Random Winner
🪂 Register : ATM88 (https://t.me/ATM88AirdropBot?start=515933843)
➖ Join Telegram
➖ Follow Twitter & Retweet
➖ Complete Another Task
➖ Submit BSC Address
➖ Done",Token ATM88,$24 ,TBA
30,Giveaway,Giveaway F,"New Airdrops : SuiHubDAO
🏷 Reward : 3000 SHT ~ $18 ( Random 3000 Winner )
🪂 Register : https://t.me/SuiHubDAOAirdropBot?start=657188428
➖ Join Telegram 
➖ Follow Twitter & Retweet 
➖ Complete Another Task 
➖ Submit SUI Address ",Token SHT,$18 ,TBA
